words,translated_words
bihaa,bihaa
bihar,bihar
bihugu,bihugu
biiri,biiri
bijak,bijak
bijaklah,bijaklah
bijaknya,bijaknya
bijaksana,bijaksana
bijan,bijan
biji,biji
bijik,bijik
bikin,bikin
bikinan,bikini
bikinannya,bikininya
bikinin,bikini
bikinnya,bikininya
bikul,bikul
bila,bila
bilah,online
bilan,bilan
bilang,katakan
bilangin,bilangin
bilangnya,bilangnya
bili,bili
bilik,ruang
bilion,miliar
bilionair,miliarder
bilioni,miliaran
bill,tagihan
billing,penagihan
billion,miliar
billy,billy
bilowday,hari bilow
bimari,bimari
bimbang,bimbang
bimbel,bimbel
bimbingan,bimbingan
bimeh,bimeh
bin,tempat sampah
bina,bina
binaandamu,binaandamu
binadamu,binadamu
binafsi,binafsi
binani,binani
binaryx,binerx
binasa,binasa
binatang,binatang
bincang,bincang
bincangkan,bincangkan
bindaamu,bindaamu
binder,bahan pengikat
bing,bing
bingai,bingai
bingar,bingar
bingi,bingi
binginiyam,binginiyam
bingung,bingung
bingwa,bingwa
bingxchatgpt,bing x chat gpt
bini,bini
binian,binian
binsar,binsar
bintang,bintang
bintaro,bintaro
binuksan,binuksan
binus,binus
bio,bio
biografi,biografi
biografinya,biografinya
bioinformatika,bioinformatika
biologi,biologi
biologis,biologi
biomed,biomed
biomedical,biomedis
biometrik,biometrik
bioskop,bioskop
biotech,bioteknologi
biotechnology,bioteknologi
biotek,biotek
bioteknologi,bioteknologi
bir,bir
birakah,birakah
bird,burung
birinchi,birinchi
birlaring,birlaring
biro,biro
birokrasi,birokrasi
biroroshe,biroroshe
birthday,hari ulang tahun
biru,biru
bisa,bisa
bisaan,bisaan
bisakah,menarik
bisanya,bisanya
bisi,bis
bisikin,bisikin
bising,bising
bismillaa,bismillah
bismillah,bismillah
bisnes,bisnis
bisnis,bisnis
bisnismu,bisnismu
bisnisnya,bisnisnya
bisu,bisu
bit,sedikit
bitabisabiye,bitabisabiye
bitches,pelacur
bitcoin,bitcoin
bittensor,bittensor
bitter,pahit
bivugwa,bivugwa
bixby,bixby
biz,bisnis
bizy,bizy
bjaq,bjaq
bjb,bjb
bjir,bjir
bjirlah,bjirlah
bjp,bjp
bk,bk
bka,bka
bkai,bkai
bkerja,bkerja
bkin,bkin
bkl,bkl
bkn,bkn
bknny,bknny
bkp,bkp
bks,bks
bksap,bksap
bl,hal
bla,bla
blabla,blabla
blablabla,blablabla
black,hitam
blackbox,kotak hitam
blackmail,pemerasan
blackpink,hitam merah muda
blackrock,batu hitam
blacks,orang kulit hitam
blackwell,sumur hitam
blague,bual
blah,bla
blaire,blaire
blajar,blajar
blak,hitam
blakan,blakan
blake,blake
blaming,menyalahkan
blanc,pucat
blanco,putih
bland,hambar
blank,kosong
blantika,blantika
blazer,jaket
blek,buruk
blend,mencampur
blender,pencampur
bless,memberkati
blg,blg
blh,blh
bli,bli
bliau,bliau
blind,buta
blitar,blitar
bljr,bljr
blm,blm
blng,blng
block,memblokir
blockchain,blockchain
blockchainadalah,blockchainadalah
blocked,diblokir
blockhain,blokhain
blog,blog
blogger,blogger
blogging,ngeblog
blogs,blog
blok,blok
blokchain,blokchain
blokckchain,blokckchain
blokir,Diblokir
blokk,blok
blom,mekar
blood,darah
blook,lihat
bloom,bunga
bloomberg,mekarberg
bloon,bodoh
blow,meniup
blower,peniup
blowing,hembusan
blown,sesak nafas
blu,biru
blue,biru
blueprint,cetak biru
blueqat,blueqat
bluewillow,willow biru
blunder,kesalahan ceroboh
blundernya,kesalahannya
blur,mengaburkan
bluu,biru
bm,bm
bmkg,bmkg
bmw,bmw
bn,bn
bna,bna
bnaya,bnaya
bnayi,bnayi
bncc,bncc
bnci,bnci
bnd,bnd
bnde,terikat
bner,bner
bnget,bnget
bngt,bngt
bni,bni
bnjir,bnjir
bnm,bnm
bnpb,bnpb
bnr,bnr
bnti,bnti
bny,bny
bnyak,bnyak
bnyaknya,bnyaknya
bnyk,bnyk
bo,bo
board,papan
boarding,asrama
boat,kapal
boatah,perahuah
boataky,seperti perahu
boateh,perahueh
boatun,perahuun
bobrok,bobrok
boca,boca
bocah,bocah
bocahnya,bocahnya
bocil,bocil
bocor,bocor
bocoran,bocoran
bocorannya,bocorannya
bocorkan,bocorkan
bodethi,bodethi
bodi,tubuh
bodo,bodo
bodoamat,bodoamat
bodoh,bodoh
bodohnya,bodohnya
bodong,bodong
bodrek,bodrek
bodu,bodu
bodun,bodun
body,tubuh
bodynya,bodynya
bodyswap,pertukaran tubuh
boga,boga
bogel,bogel
bogelkan,bogelkan
bogor,bogor
bohir,bohir
bohong,berbohong
bohongan,berbohong
bohot,bohot
bohut,bohut
boi,boi
boikot,boikot
bojja,bojja
bokeh,bokeh
bokep,bokep
bokhari,bokhari
bokong,bokong
bol,bola
bola,bola
bolah,bolah
bolak,bolak-balik
bolana,bolana
bolanya,bolanya
bole,batang
boleehh,boleehh
bolega,bolega
bolegi,boleg
boleh,boleh
bolehlah,bolehlah
bolehnya,bolehnya
bolejuga,bolejuga
bolne,baik
bolong,bolong
bolot,bolot
bolta,baut
bolti,bauti
bolty,baut
boluga,boluga
bolunga,bolunga
boly,bodoh
bom,lahir
bomb,bom
bombardir,membombardir
bomoh,bomoh
bon,selamat datang
bonceng,bonceng
bond,menjalin kedekatan
boneka,boneka
bonekanya,bonekanya
bong,bong
bongkar,Bongkar
bongo,bongo
bongoknya,bongokannya
bontot,bontot
bonus,bonus
bonyok,bonyok
book,buku
bookmark,penanda buku
books,buku
boom,ledakan
boomer,boomer
boomerang,bumerang
boomers,boomer
booming,booming
boomingnya,boomingnya
boon,anugerah
boong,boong
boongannya,boongannya
boongnya,boongnya
boost,mendorong
bootcamp,kamp pelatihan
bopam,bopam
bor,membosankan
bora,bora
borak,borak
boring,membosankan
boris,boris
boro,boro
borong,borong
borubah,borubah
bos,bos
bosan,bosan
bosch,bosch
bosdike,bosdike
bosen,bosen
bosenin,bosenin
boshladi,boshladi
bosmu,bosmu
bosnya,bosnya
boss,bos
boston,boston
bot,bot
both,keduanya
botify,botifikasi
botnya,botnya
botolempangan,botolempangan
bots,bot
bottleneck,kemacetan
bottom,dasar
bounce,melambung
boundaries,batasan
boundries,batas-batas
bounty,karunia
boutross,boutross
bowes,membungkuk
box,kotak
boy,anak laki-laki
boycott,memboikot
boykot,boikot
bozz,bozz
bp,bp
bpa,bpa
bpandukan,bpandukan
bpjph,bpjph
bpjs,bpjs
bpkh,bpkh
bpn,bpn
bpom,bpom
bppt,bppt
bps,bps
bpsm,bpsm
br,saudara
braat,anak nakal
bradshaw,bradshaw
brahmana,brahmana
brain,otak
brainlab,laboratorium otak
brainpower,otak
brainstorm,bertukar pikiran
brainstorming,bertukar pikiran
brainstormingan,bertukar pikiran
brainstroming,bertukar pikiran
brainwash,cuci otak
braking,pengereman
bram,bram
bramasta,bramasta
bran,dedak
brand,merek
branded,bermerek
branding,merek
brandpreneur,pengusaha merek
brarti,saudara
brasa,brasa
brasil,Brasil
brasildr,brasildr
brave,berani
braw,perkelahian
brawijaya,brawijaya
bray,meringkik
brazil,Brazil
brbgai,brbgai
brcanda,brcanda
bread,roti
breadwinner,pencari nafkah
break,merusak
breaking,pemecahan
breakingnews,berita terkini
breakit,menghancurkan
breakthrough,terobosan
breathing,pernafasan
breeze,angin semilir
breh,breh
brengsek,brengsek
brenti,Brenti
brewok,minuman
bri,bri
brian,brian
brics,batu bata
bridging,menjembatani
brief,singkat
briefing,arahan
briged,diringkas
bright,terang
brighter,lebih cerah
brilian,cemerlang
brin,air asin
bring,membawa
brings,membawa
bringup,bawakan
brio,keramaian
britannica,britannica
british,Inggris
brkata,brakata
brkl,brkl
bro,kawan
broadcast,siaran
broadcom,broadcom
brochure,brosur
brockman,brockman
broke,bangkrut
broker,makelar
broni,broni
broo,kawan
brooker,pialang
bros,kawan
browder,penjelajah
browser,peramban
browsing,menjelajah
brp,brp
brrti,brti
brti,brti
bru,saudara
bruhh,bruhh
brujula,brujula
brunei,brunei
brushes,kuas
brutal,brutal
bruyne,bruyne
bs,bs
bsa,bsa
bsd,bsd
bsdk,bsdk
bsi,bsi
bsrrk,bsrrk
bssn,bssn
bt,bt
btay,tapi
btc,btc
bts,bts
btw,Omong-omong
bu,bu
buagus,bugus
buah,buah
bual,bual
bualan,bualan
buana,buana
buang,buang
buangan,buangan
buaran,buaran
buas,buas
buat,buat
buatah,buatah
buatan,buatan
buatannya,buatannya
buatin,buatin
buatkan,buatkan
buatku,buatku
buatlah,buatlah
buatnya,buatnya
buatt,buatt
buaya,buaya
bubar,bubar
bubat,bubat
bubble,gelembung
bubbles,gelembung
buburit,buburit
buchheit,buchheit
bucin,bucin
bucinnya,bucinnya
bud,tunas
budak,budak
budaya,budaya
buddhi,buddhi
buddies,teman
budget,anggaran
budi,budi
budianto,budianto
budidaya,budidaya
budiman,budiman
budisatrio,budisatrio
buds,tunas
bufasha,bufasha
bufatanye,bufatanye
buffett,prasmanan
bug,serangga
bugamije,bugamije.dll
bugcrowd,kerumunan serangga
buggati,buggati
bugil,bugil
bugilmu,bugilmu
bugis,bugis
bugs,bug
bugufasha,bugufasha
buhan,bahan
buhanga,buhanga
buhangano,buhangano
buhari,buhari
buibu,buibu
buih,buih
build,membangun
builder,pembangun
builders,pembangun
building,bangunan
buildingatau,bangunanatau
buildingserta,bangunanserta
buildingyang,bangunanyang
bujang,bujang
bujur,bujur
bujuran,bujuran
buka,buka
bukaan,mengoperasikan
bukalah,bukalah
bukan,bukan
bukankah,mungkin
bukanlah,tidak
bukannya,bukannya
bukanya,bukanya
bukber,tukang minuman
bukit,bukit
bukos,buko
bukti,bukti
buktiin,buktiin
buktikan,buktikan
buktinya,buktinya
buku,buku
bukunya,bukunya
bukv,bukv
bulan,bulan
bulanan,bulanan
bulat,bulat
bulding,bangunan
bule,bule
bulet,bulet
buletin,buletin
buli,buli
bulik,bulik
bulk,dalam jumlah besar
bullet,peluru
bullish,bullish
bullrun,kerbau lari
bullshit,omong kosong
bully,menggertak
bullying,intimidasi
bullynya,pengganggunya
buluk,buluk
bumble,menggagap
bumbu,bumbu
bumerang,bumerang
bumi,bumi
buming,bumil
bumn,malang
bun,sanggul
bunani,bunani
bundar,bulat
bundir,bundir
bundling,bundling
bunefiyyaa,bunefiyyaa
buneh,buneh
bunga,bunga
bungeni,bungen
bungkus,bungkus
bungursari,bungursari
buni,buni
bunian,bunian
bunifu,bunifu
bunkasa,bunkasa
bunker,bunker
buntu,buntu
buntung,bermanfaat
bunuh,bunuh diri
buny,kelinci
bunyi,bunyi
bunyikan,bunyikan
bup,bup
bupati,bupati
bura,bura
burberry,burberry
bure,tapi
buremano,buremano
burger,burgernya
burhan,burhan
burit,mengubur
burna,luka bakar
burned,dibakar
burnout,habis terbakar
burnt,dibakar
buronan,buronan
buroq,buroq
buru,buru
buruan,buruan
buruh,buruh
buruk,buruk
buruknya,buruknya
burung,burung
buryo,buryo
bus,bis
busan,busan
busana,busana
buseeh,buseeh
buseng,buseng
buset,buset
busett,busett
bushya,semakya
business,bisnis
businesses,bisnis
bussiness,bisnis
bustling,ramai
busy,sibuk
but,Tetapi
buta,tapi
butang,butang
butari,butari
butek,butek
butt,pantat
butthurt,tapi sakit hati
button,tombol
butuh,butuh
butuhin,butuhin
butuhkan,diperlukan
butut,tapi
butwaa,tapiwaa
buy,membeli
buyobozi,buyobozi
buyumlarni,beliumlarni
buzar,buzar
buzer,bel
buzima,buzima
buzulib,buzulib
buzwi,buzwi
buzzer,bel
buzzerpay,pembayaran buzzer
buzzerrp,buzzerrp
buzzfeed,umpan buzz
buzzword,kata kunci
buzzwords,kata kunci
bw,bw
bwa,bwa
bwana,wana
bwang,bwang
bwat,bwat
bwatangiye,bwatangye
bwawe,bwwe
bwenge,bwenge
bworoshye,bworoshye
bwt,bwt
bxg,bxg
by,oleh
bya,sampai jumpa
byafasha,byafasha
bye,selamat tinggal
byiteguye,byiteguye.dll
byk,byk
bykin,olehkin
bypass,jalan pintas
bytedance,bytetansi
ca,ca
cabang,cabang
cabaran,kabaran
cabut,cabut
cacat,cacat
caci,caci
cadang,sisa
cadangan,cadangan
cadl,Cadl
cady,cady
cafe,kafe
cageur,kandang
cahaya,cahaya
cahyadi,cahyadi
caindo,caindo
cairo,Kairo
cajiib,cajiib
cak,cak
cakap,cakap
cakep,cakep
cakna,cakna
caknan,caknan
cakup,kuep
cakupan,cakupan
calculating,menghitung
calculator,Kalkulator
calculus,kalkulus
caleg,caleg
calegnya,calegnya
california,California
call,panggilan
callback,panggilan balik
called,ditelepon
calm,tenang
calo,kalori
calon,calon
calonnya,calonnya
calopintar,calopintar
cam,kamera
cambridge,Cambridge
cambuk,cambuk
cameo,cameo
camera,kamera
camna,kamera
camne,datang
camni,camni
camon,camon
camp,kamp
campaign,kampanye
campaignnya,kampanyenya
campaigns,kampanye
campain,kampanye
campur,campur
campuran,campuran
campurkan,campurkan
campus,kampus
camtu,camtu
camus,kamus
can,Bisa
canada,Kanada
canang,canang
canary,kenari
cancel,membatalkan
cancellation,pembatalan
cancelling,membatalkan
canda,canda
candidate,calon
candu,candu
candy,Permen
canggeh,canggeh
canggih,canggih
canggihkah,modernkah
canggihnya,canggihnya
canggung,aneh
cangih,cangih
cangkir,cangkir
canon,kanon
cant,tidak bisa
canta,tidak bisa
cantik,cantik
cantikkan,cantikkan
cantiknya,cantiknya
cantmkan,tidak dapat dilakukan
canttik,tidak bisa
cantumin,cantumin
canva,kanvas
canvas,kanvas
cap,topi
capability,kemampuan
capacity,kapasitas
capai,mencapai
capaian,kemampuan
capcut,capcut
cape,tanjung
capek,capek
capeknya,capeknya
capital,modal
capitalist,kapitalis
capitec,capitec
capitol,gedung DPR
capres,capres
capresnya,capresnya
captain,Kapten
caption,keterangan
capture,menangkap
captured,ditangkap
car,mobil
cara,cara
caranya,caranya
carat,karat
carbon,karbon
card,kartu
care,peduli
career,karier
careful,hati-hati
cari,cari
carian,carian
cariin,cariin
carikan,carikan
carilah,carilah
carlocafferini,carlocafferini
carnegie,Carnegie
carol,carol
carrd,kartu
carrera,carrera
carry,membawa
cars,mobil
cartoon,kartun
carum,carum
case,kasus
casemiro,casemiro
casenya,kasusnya
casesnya,kasusnya
cash,uang tunai
casino,kasino
casirka,casirka
casriga,casriga
cast,pemeran
castle,Kastil
casual,kasual
cat,kucing
catalano,katalano
catalogue,katalog
catat,catat
catatan,catatan
catch,menangkap
catering,katering
catet,catet
catfisher,pemancing lele
cathy,menarik
catu,catu
catudaya,catudaya
caur,caur
cause,menyebabkan
cave,gua
cavill,cavill
cawangan,cawangan
cawapres,cawapres
cawapresnya,cawapresnya
cb,cb
cbdc,cbdc
cbi,cbi
cbz,cbz
cc,cc
ccm,ccm
ccs,ccs
cctv,cctv
cder,cder
ce,ce
ceasefire,gencatan senjata
ceban,ceban
cebok,cebok
cebokin,cebokin
cebong,cebong
ceciap,ceciap
cecil,cecil
cecor,cecor
cef,cef
cegah,mencegah
ceh,ceh
ceipal,ceipal
cek,cek
cekap,cekap
cekidot,cekidot
cekrek,cekrek
cekungan,cekungan
cela,sela
celah,celah
celaka,celaka
celakanya,celakanya
celana,celana
celcom,celcom
celcomdigi,celcomdigi
celebrities,selebriti
celebrity,selebriti
celebs,selebriti
celerates,mempercepat
celii,ceii
celik,celik
cell,sel
celotehan,celotehan
cemas,cemas
cemburu,cemburu
cement,semen
cemerlang,cemerlang
cemilan,cemilan
cempreng,cempreng
cemu,cemu
cenah,cenah
cendekiawan,cendekiawan
cenderung,cenderung
cendrung,cendrung
ceng,ceng
cengeng,cengeng
cenggitu,cenggitu
cengin,cengin
cengo,cengo
centang,centang
center,tengah
centered,terpusat
central,pusat
centralized,terpusat
centre,tengah
centric,sentris
century,abad
cenzawa,cenzawa
ceo,CEO
cepat,cepat
cepatkan,cepatkan
cepatnya,cepatnya
cepet,cepat
cepetan,cepetan
cepil,cepil
cer,Cer
cerah,cerah
cerai,cerai
ceramah,ceramah
cerca,tertentu
cerdas,cerdas
cerdasnya,cerdasnya
cerewet,cerewet
cergas,cergas
cerita,cerita
ceritakan,ceritakan
ceritanya,ceritanya
cermat,cermat
cermati,cermati
cerminan,cerminan
cerpen,cerpen
certain,yakin
certifiaied,bersertifikat
certification,sertifikasi
certified,bersertifikat
ces,ces
cetek,cetek
cetx,cetx
ceu,ceu
ceunah,ceunah
cewa,cewa
cewe,cewe
cewek,cewek
cewenya,cewenya
cf,lih
cfds,cfds
cfe,lih
cfo,CFO
cg,cg
cgi,cgi
cginya,cginya
cgpt,cgpt
ch,bab
cha,cha
chad,anak
chahiye,chahiye
chahty,chahty
chai,chai
chain,rantai
chained,dirantai
chainlink,rantai
chairman,ketua
chairul,kursiul
chake,chake
chal,hal
chalange,tantangan
chalaya,chalaya
challange,tantangan
challenge,tantangan
challenges,tantangan
chalra,chalra
chamber,ruangan
champion,juara
championships,kejuaraan
chan,Chan
chance,peluang
chand,Chand
chanel,Jalur
chang,berubah
changa,berubah
changamoto,changamoto.dll
change,mengubah
changenya,perubahannya
changer,pengubah
changing,berubah
changow,berubah
channel,saluran
chanya,chanya
chanyeol,Chanyeol
chanzawa,chanzawa
chaos,kekacauan
chapter,bab
chapters,bab
char,arang
chara,karakter
character,karakter
characteristics,karakteristik
charanya,charanya
charge,mengenakan biaya
charger,pengisi daya
charity,amal
charlie,Charlie
chart,bagan
chase,mengejar
chat,chat
chatan,obrolan
chatbot,chatbot
chatbotnya,chatbotnya
chatbots,chatbot
chatbox,kotak obrolan
chatcompletion,penyelesaian obrolan
chatdan,chatdan
chatgbt,chat gpt
chatgp,chat gpt
chatgpt,chat gpt
chatgtp,chat gpt
chatingan,obrolan
chatpdf,obrolanpdf
chats,obrolan
chatting,mengobrol
chayra,chayra
cheap,murah
cheaper,lebih murah
cheat,mencurangi
cheater,penipu
cheating,curang
check,memeriksa
checker,pemeriksa
checkers,dam
checking,memeriksa
checklist,daftar periksa
cheese,keju
cheez,ya ampun
chef,koki
cheklanadi,cheklanadi
chelsea,Chelsea
chen,Chen
chenle,chenle
cheo,Cheo
chesadu,chesadu
chesi,chesi
chesky,nakal
chet,curang
chey,murahan
cheyth,Cheyth
cheyyadam,cheyyadam
chhudayega,chhudayega
chi,chi
chib,chib
chicago,Chicago
chicu,chicu
chief,ketua
chika,chika
chikaboom,chikaboom
chila,chila
child,anak
children,anak-anak
chill,santai
chimbo,chimbo
china,Cina
chindo,chindo
chingaron,chingaron
chini,Cina
chioma,chioma
chip,keping
chipnya,chipnya
chipset,chipset
chiqardi,chiqardi
chiqdi,chiqdi
chiru,chiru
chl,bab
chnou,chnou
cho,cho
chochote,coklat
choi,choi
choice,pilihan
chomsky,chomsky
chong,chong
choo,choo
choose,memilih
choosing,memilih
chopper,helikopter
chris,kris
chrisbin,Chrisbin
christian,Kristen
christopher,Christopher
christy,Christy
chrisye,Chrisye
chrome,krom
chromeos,chromeo
chtgpt,chat gpt
chucky,chucky
chudandi,chudandi
chude,orang bodoh
chuka,chuka
chukua,chukua
chuma,sahabat
chuo,chuo
chusara,chusara
chusukuntayi,chusukuntayi
chutiyapa,chutiyapa
chz,chz
ci,ci
cia,cia
ciamik,ciamik
ciapan,ciapan
cide,side
ciduk,ciduk
cihui,cihui
cik,cik
cikal,cikal
cikampek,cikampek
cikariyor,cikariyor
cikgpt,cikgpt
cikgu,cikgu
cikin,cikin
cilacap,cilacap
cilebut,cilebut
cilik,cilik
cilok,cilok
cina,cina
cincai,cincai
cincin,cincin
cinema,bioskop
cinematic,sinematik
cinta,cinta
cintaku,cintaku
cintamu,cintamu
cintanya,cintanya
cio,cio
cip,cip
cipta,cipta
ciptaan,ciptaan
ciptaannya,ciptaannya
ciptajadi,ciptajadi
ciptakan,ciptakan
ciptanya,ciptaannya
ciput,ciput
ciqar,ciqar
ciqnr,ciqnr
circle,lingkaran
ciri,ciri
cirit,ciri
cisco,cisco
cita,cita
citaku,citaku
citanya,citanya
citilink,citilink
citizen,warga negara
citizens,warga
citizenship,kewarganegaraan
citra,citra
citracapres,citracapres
citraresmi,citraresmi
city,kota
cityscape,lanskap kota
ciuman,mencium
ciupa,ciupa
civil,sipil
civitas,warga negara
ciwiciwi,ciwiciwi
ckb,ckb
ckckck,ckckck
ckp,ckp
cl,sel
claim,mengeklaim
claire,claire
clarkesworld,dunia clarkes
class,kelas
classcraft,kerajinan kelas
classes,kelas
classic,klasik
classy,berkelas
claude,claude
claudia,claudia
clean,membersihkan
cleaning,pembersihan
clear,jernih
cleoputri,Cleoputri
click,klik
client,klien
cliff,jurang
climate,iklim
clinic,klinik
clinical,klinis
clip,klip
clone,klon
close,menutup
closed,tertutup
closedai,tutup
closeup,merapatkan
cloud,awan
cloudera,cloudera
cloudflare,awan suar
cloudy,berawan
clowns,badut
club,klub
clueless,tak tahu apa-apa
cm,cm
cmiiw,cmiiw
cmmr,cmmr
cmn,cmn
cmni,cmni
cmon,Ayo
cms,cm
cn,cn
cnc,cnc
co,bersama
coach,pelatih
coast,pesisir
coba,coba
cobain,cobain
cobanya,cobanya
coblos,koblos
coca,koka
cocok,cocok
cocoknya,cocoknya
cocoon,kepompong
code,kode
codeigniter,penyala kode
codename,nama kode
coder,pembuat kode
codes,kode
codex,naskah kuno
coding,pengkodean
codingan,codingan
coexist,hidup bersama
coffee,kopi
cofounded,didirikan bersama
cognition,pengartian
cognitive,kognitif
cohort,kelompok
coi,coi
coin,koin
coinbase,basis koin
coinex,coinex
cok,kok
cola,soda
colab,colab
cold,dingin
coldplay,permainan dingin
collab,berkolaborasi
collaboration,kolaborasi
collaborative,kolaboratif
collage,kolase
collapse,runtuh
colleague,kolega
collect,mengumpulkan
collectibles,barang koleksi
collection,koleksi
collins,collins
colmek,colmek
colokan,colokan
colombia,Kolumbia
colonel,kolonel
colong,kolom
colongan,kolongan
color,warna
coloring,warna
colors,warna
columbia,Kolumbia
com,com
combat,tempur
combination,kombinasi
combine,menggabungkan
combined,digabungkan
combines,menggabungkan
come,datang
comeback,kembali
comedian,pelawak
comedy,komedi
comel,unta
comercial,komersial
comes,datang
comfort,kenyamanan
comfy,nyaman
comic,komik
comics,komik
coming,yang akan datang
command,memerintah
commanding,berwibawa
comment,komentar
commentary,komentar
commerce,perdagangan
commercial,komersial
commis,komisi
commision,komisi
commiss,komisi
commission,Komisi
common,umum
communal,komunal
communicate,menyampaikan
communication,komunikasi
communications,komunikasi
community,masyarakat
comot,comot
companies,perusahaan
companikalil,perusahaan
companion,pendamping
company,perusahaan
companynya,perusahaannya
compare,membandingkan
comparing,perbandingan
comparison,perbandingan
compasnya,kompasnya
compass,kompas
compat,kompatibel
compensation,kompensasi
compete,bersaing
competence,kompetensi
competition,kompetisi
competitor,saingan
compile,menyusun
compiler,penyusun
complete,menyelesaikan
complex,kompleks
complicated,rumit
compose,menyusun
composer,komposer
comprehensive,luas
compse,menyusun
computational,komputasi
computer,komputer
computing,komputasi
comrade,kawan
comrades,kawan
con,menipu
conan,conan
conbek,conbek
concept,konsep
conceptaanu,konsepaanu
concern,kekhawatiran
concerned,khawatir
concernnya,kekhawatirannya
concerns,kekhawatiran
concernya,keprihatinanya
concert,konser
conclave,konklaf
concluded,menyimpulkan
conclusion,kesimpulan
condemn,memvonis
condi,kondisi
conds,kondisi
coneblock,blok kerucut
conference,konferensi
confidence,kepercayaan diri
confidential,rahasia
confidentiality,kerahasiaan
confirm,mengonfirmasi
conflicted,bertentangan
confluent,anak sungai
confuse,bingung
congrats,selamat
congratulations,Selamat
congress,Kongres
connect,Menghubung
connected,terhubung
connectedpapers,kertas terhubung
connectkan,sambungkan
connexion,hubungan
consciousness,kesadaran
consegue,konsekuensi
consensus,konsensus
consent,izin
conservation,konservasi
consider,mempertimbangkan
considering,mempertimbangkan
consolata,menghibur
console,menghibur
conspiracy,konspirasi
construct,membangun
constructive,konstruktif
consultancy,konsultasi
consulting,konsultasi
consumer,konsumen
consuming,memakan
consumption,konsumsi
cont,lanjutan
contact,kontak
contagion,penularan
contekan,contekan
contekannya,isinya
conten,konten
contenido,konteno
content,isi
contents,isi
contentwriting,penulisan konten
contest,kontes
context,konteks
contextual,kontekstual
contoan,contoan
contoh,contoh
contohnya,contohnya
contract,kontrak
contriburion,kontribusi
contribute,menyumbang
control,kontrol
controlled,dikendalikan
controversy,kontroversi
conundrums,teka-teki
convention,Konvensi
conventional,konvensional
conversa,percakapan
conversation,percakapan
conversational,percakapan
conversations,percakapan
conversion,konversi
convertion,konversi
convince,meyakinkan
convinced,yakin
convolution,lilitan
cook,memasak
cookbook,buku masak
cookies,kue
cool,Dingin
cooling,pendinginan
cooper,bekerja sama
cop,polisi
copas,copas
copast,copast
copia,salinan
copilot,kopilot
copras,kopra
copy,menyalin
copyai,menyalin
copylah,salinlah
copypasta,copypasta
copyright,hak cipta
copyrighted,berhak cipta
copyrightnya,hak ciptanya
copywriter,copywriter
copywriting,penulisan salinan
corak,corak
core,inti
corel,corel
coret,inti
coretan,coretan
corner,sudut
corp,perusahaan
corporate,perusahaan 
corporation,perusahaan
corporations,korporasi
corpus,korpus
correa,Korea
correct,benar
corruption,korupsi
cortex,korteks
cortidex,kortideks
corynebacterium,corynebacterium
cos,karena
cosmopolitan,kosmopolitan
cosplay,permainan kostum
cosplayer,cosplayer
cost,biaya
costly,mahal
costnya,biayanya
could,bisa
couldn,bisa
council,Dewan
counsel,nasihat
counsellor,konselor
counter,menangkal
countries,negara
country,negara
countthings,menghitung banyak hal
course,kursus
coursee,kursus
coursera,tentu saja
courses,kursus
court,pengadilan
cover,menutupi
coverage,cakupan
covernya,sampulnya
coversong,lagu cover
covid,covid
cowo,cowo
cowok,kawan
coy,malu-malu
cp,cp
cpai,cpai
cpc,bpk
cpres,cpres
cpt,cpt
cpu,CPU
cr,kr
crack,retakan
craig,Craig
crapto,omong kosong
cravings,mengidam
crawford,crawford
crawl,merangkak
crawling,merangkak
crazy,gila
cre,kr
crea,menciptakan
creaotor,pencipta
create,membuat
created,dibuat
creating,menciptakan
creation,penciptaan
creations,kreasi
creative,kreatif
creativity,kreativitas
creator,pencipta
creatornya,penciptanya
creators,pencipta
creature,makhluk
credit,kredit
creed,kepercayaan
creepy,menakutkan
cri,cri
cricketer,pemain kriket
crime,kejahatan
crimes,kejahatan
cringe,jijik
critical,kritis
crm,crm
crochet,merenda
crocheter,rajutan
crop,tanaman
cropnya,cropnya
cropping,pemangkasan
cross,menyeberang
crosscheck,pemeriksaan kembali
crow,burung gagak
crowd,kerumunan
crtnya,crtnya
crud,kasar
crush,menghancurkan
crv,crv
cry,menangis
cryosleep,tertidur lelap
crypto,kripto
cryptocurrencies,mata uang kripto
cryptocurrency,mata uang kripto
cryptos,kripto
crytobros,crytobros
cs,cs
csi,csi
csp,csp
css,css
ct,ct
cth,cth
cthulhu,cthulhu
cto,cto
ctr,ctr
ctrl,ctrl
ctxc,ctxc
cu,cu
cuaca,cuaca
cuan,cuan
cuba,Kuba
cubalah,kubalah
cubersecurty,keamanan kubus
cubism,kubisme
cubo,kubus
cuci,cuci
cucu,cucu
cucumber,timun
cucunya,cucunya
cuek,cuek
cuih,cuih
cuit,cocok
cuitan,cuitan
cuk,cuk
cukai,cukai
cukup,cukup
cukuplah,cukuplah
culak,culak
culik,culik
culture,budaya
cum,air mani
cuma,cuma-cuma
cumalah,cumalah
cuman,cuman
cumanya,cumanya
cup,cangkir
cupang,cupang
cupid,dewa asmara
cuplikan,cuplikan
cupu,cupu
curah,curah
curahan,curahan
curahkan,curahkan
curang,curang
curhat,curhat
curhatan,curhatan
curhatku,curhatku
curhatnya,curhatnya
curi,rasa ingin tahu
curian,curian
curie,rasa ingin tahu
curiga,curiga
curious,penasaran
currency,mata uang
current,saat ini
currently,saat ini
curriculum,kurikulum
